Connecting to host 10.223.62.39, port 5201
[  4] local 10.223.61.37 port 52934 connected to 10.223.62.39 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.64 MBytes  13.8 Mbits/sec    4   45.2 KBytes       
[  4]   1.00-2.00   sec  2.26 MBytes  18.9 Mbits/sec    1   66.5 KBytes       
[  4]   2.00-3.00   sec  2.43 MBytes  20.4 Mbits/sec    1   89.1 KBytes       
[  4]   3.00-4.00   sec  2.14 MBytes  17.9 Mbits/sec    1    103 KBytes       
[  4]   4.00-5.00   sec  2.38 MBytes  19.9 Mbits/sec    1   77.8 KBytes       
[  4]   5.00-6.00   sec  1.72 MBytes  14.4 Mbits/sec    3   70.7 KBytes       
[  4]   6.00-7.00   sec  1.96 MBytes  16.4 Mbits/sec    3   84.8 KBytes       
[  4]   7.00-8.00   sec  1.96 MBytes  16.4 Mbits/sec    7   49.5 KBytes       
[  4]   8.00-9.00   sec  2.20 MBytes  18.4 Mbits/sec    1   73.5 KBytes       
[  4]   9.00-10.00  sec  2.08 MBytes  17.4 Mbits/sec    1   91.9 KBytes       
[  4]  10.00-11.00  sec  2.32 MBytes  19.4 Mbits/sec    2   96.2 KBytes       
[  4]  11.00-12.00  sec  2.32 MBytes  19.4 Mbits/sec    3   99.0 KBytes       
[  4]  12.00-13.00  sec  2.08 MBytes  17.4 Mbits/sec    3   72.1 KBytes       
[  4]  13.00-14.00  sec  2.26 MBytes  18.9 Mbits/sec    2   73.5 KBytes       
[  4]  14.00-15.00  sec  2.26 MBytes  18.9 Mbits/sec    2   67.9 KBytes       
[  4]  15.00-16.00  sec  1.78 MBytes  14.9 Mbits/sec    1   86.3 KBytes       
[  4]  16.00-17.00  sec  2.14 MBytes  17.9 Mbits/sec    1    102 KBytes       
[  4]  17.00-18.00  sec  2.43 MBytes  20.4 Mbits/sec    3    113 KBytes       
[  4]  18.00-19.00  sec  1.78 MBytes  14.9 Mbits/sec   14   89.1 KBytes       
[  4]  19.00-20.00  sec  2.20 MBytes  18.4 Mbits/sec    0    109 KBytes       
[  4]  20.00-21.00  sec  2.26 MBytes  18.9 Mbits/sec    0    119 KBytes       
[  4]  21.00-22.00  sec  2.14 MBytes  17.9 Mbits/sec    1    130 KBytes       
[  4]  22.00-23.00  sec  1.72 MBytes  14.4 Mbits/sec   18    109 KBytes       
[  4]  23.00-24.00  sec  2.14 MBytes  17.9 Mbits/sec   10   90.5 KBytes       
[  4]  24.00-25.00  sec  2.14 MBytes  17.9 Mbits/sec    3   80.6 KBytes       
[  4]  25.00-26.00  sec  2.26 MBytes  18.9 Mbits/sec    6   74.9 KBytes       
[  4]  26.00-27.00  sec  2.38 MBytes  19.9 Mbits/sec   10   67.9 KBytes       
[  4]  27.00-28.00  sec  2.49 MBytes  20.9 Mbits/sec    0   91.9 KBytes       
[  4]  28.00-29.00  sec  1.96 MBytes  16.4 Mbits/sec    2    105 KBytes       
[  4]  29.00-30.00  sec  2.26 MBytes  18.9 Mbits/sec    0    120 KBytes       
[  4]  30.00-31.00  sec  2.43 MBytes  20.4 Mbits/sec   16   89.1 KBytes       
[  4]  31.00-32.00  sec  2.32 MBytes  19.4 Mbits/sec    0    110 KBytes       
[  4]  32.00-33.00  sec  2.14 MBytes  17.9 Mbits/sec   13   93.3 KBytes       
[  4]  33.00-34.00  sec  2.20 MBytes  18.4 Mbits/sec    2   83.4 KBytes       
[  4]  34.00-35.00  sec  2.14 MBytes  17.9 Mbits/sec    0    102 KBytes       
[  4]  35.00-36.00  sec  2.32 MBytes  19.4 Mbits/sec    0    117 KBytes       
[  4]  36.00-37.00  sec  1.96 MBytes  16.4 Mbits/sec   13   97.6 KBytes       
[  4]  37.00-38.00  sec  2.61 MBytes  21.9 Mbits/sec    2   90.5 KBytes       
[  4]  38.00-39.00  sec  2.32 MBytes  19.4 Mbits/sec    7   56.6 KBytes       
[  4]  39.00-40.00  sec  2.14 MBytes  17.9 Mbits/sec    4   56.6 KBytes       
[  4]  40.00-41.00  sec  2.32 MBytes  19.4 Mbits/sec    0   80.6 KBytes       
[  4]  41.00-42.00  sec  2.32 MBytes  19.4 Mbits/sec    3   79.2 KBytes       
[  4]  42.00-43.00  sec  2.02 MBytes  16.9 Mbits/sec    2   84.8 KBytes       
[  4]  43.00-44.00  sec  1.78 MBytes  14.9 Mbits/sec    0   84.8 KBytes       
[  4]  44.00-45.00  sec  2.14 MBytes  17.9 Mbits/sec    9   76.4 KBytes       
[  4]  45.00-46.00  sec  1.31 MBytes  11.0 Mbits/sec   28   62.2 KBytes       
[  4]  46.00-47.00  sec  1.90 MBytes  15.9 Mbits/sec    4   62.2 KBytes       
[  4]  47.00-48.00  sec  2.32 MBytes  19.4 Mbits/sec    1   84.8 KBytes       
[  4]  48.00-49.00  sec  2.14 MBytes  17.9 Mbits/sec    9   70.7 KBytes       
[  4]  49.00-50.00  sec  2.43 MBytes  20.4 Mbits/sec    0   91.9 KBytes       
[  4]  50.00-51.00  sec  2.38 MBytes  19.9 Mbits/sec    6   86.3 KBytes       
[  4]  51.00-52.00  sec  2.32 MBytes  19.4 Mbits/sec    1    102 KBytes       
[  4]  52.00-53.00  sec  2.38 MBytes  19.9 Mbits/sec    4   86.3 KBytes       
[  4]  53.00-54.00  sec  2.02 MBytes  16.9 Mbits/sec    2   77.8 KBytes       
[  4]  54.00-55.00  sec  2.26 MBytes  18.9 Mbits/sec    8   72.1 KBytes       
[  4]  55.00-56.00  sec  2.61 MBytes  21.9 Mbits/sec    0   96.2 KBytes       
[  4]  56.00-57.00  sec  2.67 MBytes  22.4 Mbits/sec    4   82.0 KBytes       
[  4]  57.00-58.00  sec  2.61 MBytes  21.9 Mbits/sec    0    102 KBytes       
[  4]  58.00-59.00  sec  2.43 MBytes  20.4 Mbits/sec    2   82.0 KBytes       
